CountryName,CO2 emissions (metric tons per capita),Year
"Congo, Dem. Rep.",0.0443260218804449,2005
"Congo, Dem. Rep.",0.0455788715559143,2006
"Congo, Dem. Rep.",0.0473122739873694,2007
"Congo, Dem. Rep.",0.0484113728039341,2008
"Congo, Dem. Rep.",0.0456040970538427,2009
"Congo, Dem. Rep.",0.0493280639148669,2010
"Congo, Dem. Rep.",0.050302687534911,2011
Cote d'Ivoire,0.132972287870922,1960
Cote d'Ivoire,0.15372167431272302,1961
Cote d'Ivoire,0.15685590948597,1962
Cote d'Ivoire,0.160260307635829,1963
Cote d'Ivoire,0.188344990647398,1964
Cote d'Ivoire,0.27808354971717403,1965
Cote d'Ivoire,0.294189798579745,1966
Cote d'Ivoire,0.32427027307231704,1967
Cote d'Ivoire,0.36789324376214794,1968
Cote d'Ivoire,0.41639170283071397,1969
Cote d'Ivoire,0.4659027217920779,1970
Cote d'Ivoire,0.49315711038389504,1971
Cote d'Ivoire,0.524437451034191,1972
Cote d'Ivoire,0.532869820249593,1973
Cote d'Ivoire,0.564472594522202,1974
Cote d'Ivoire,0.60391423764398,1975
Cote d'Ivoire,0.573142555082181,1976
Cote d'Ivoire,0.5603771272510171,1977
Cote d'Ivoire,0.6365547367494899,1978
Cote d'Ivoire,0.6854430835689339,1979
Cote d'Ivoire,0.75287182980828,1980
Cote d'Ivoire,0.517596867629971,1981
Cote d'Ivoire,0.6786214787167869,1982
Cote d'Ivoire,0.5158574994333011,1983
Cote d'Ivoire,0.553291012840992,1984
Cote d'Ivoire,0.721268182531008,1985
Cote d'Ivoire,0.5656167319609089,1986
Cote d'Ivoire,0.7022279825378219,1987
Cote d'Ivoire,0.8079798382693599,1988
Cote d'Ivoire,0.725613208615496,1989
Cote d'Ivoire,0.476538744453867,1990
Cote d'Ivoire,0.44728146657316104,1991
Cote d'Ivoire,0.35442017023651706,1992
Cote d'Ivoire,0.4365186445679961,1993
Cote d'Ivoire,0.376324148461861,1994
Cote d'Ivoire,0.4951504199428779,1995
Cote d'Ivoire,0.5641655074102521,1996
Cote d'Ivoire,0.5343576490923679,1997
Cote d'Ivoire,0.439476295296647,1998
Cote d'Ivoire,0.388336308538252,1999
Cote d'Ivoire,0.411145742800498,2000
Cote d'Ivoire,0.45812017472957595,2001
Cote d'Ivoire,0.423983154093228,2002
Cote d'Ivoire,0.312160239301985,2003
Cote d'Ivoire,0.430502632324555,2004
Cote d'Ivoire,0.431561606207393,2005
Cote d'Ivoire,0.378474934427443,2006
