CountryName,1960,2011,Percent Change in GDP
China,121.191584930721,3150.1659902179103,2499.3273311993553
"Korea, Rep.",1106.7577536991,22883.8299488322,1967.6457763542126
Singapore,2529.8570618551103,36153.953570172096,1329.090762292352
Thailand,380.85330096785896,3428.01762787762,800.0887268578297
Indonesia,288.963669921559,1638.8926518079902,467.16218071734687
Japan,7079.426404552959,36203.4338977798,411.389367286825
Portugal,3846.7028827825,18916.9913236637,391.7715742573847
India,228.304470153947,1063.1598684066198,365.6763258685759
Israel,5158.0899375894605,23889.5280089259,363.1467907302569
Dominican Republic,1092.2031911006402,4719.7923379115,332.1350071459916
