CountryName,1960,2011,Percent Change in Pop
Cote d'Ivoire,3474724,20604172,492.9729095030281
Kenya,8105440,41419954,411.01425709153364
Niger,3395212,16946485,399.12892037374985
Sudan,7527450,36918193,390.44753535393795
"Congo, Dem. Rep.",15248246,68087376,346.5259545261796
Mauritania,858170,3683221,329.1947982334503
Madagascar,5099371,21678867,325.1282560143202
Senegal,3177560,13357003,320.35407671294956
Togo,1580513,6566179,315.4460608675791
"Congo, Rep.",1013581,4177435,312.14614322880954
